time,voltage,speed5,distance_traveled,,,,speed10,speed7
1.72874E+12,0,3.55,172.69179781380012,,,,3.12,
,,,,,,,,
1.72874E+12,0,3.55,173.27494580580012,,,,3.06,
,,,,,,,,
1.72874E+12,0,3.55,173.7331335138001,,,,3.06,
,,,,,,,,
1.72874E+12,0,3.55,174.3214881843001,,,,,
,,,,,,,,
1.72874E+12,0,3.48,174.84209736750012,,,,,
,,,,,,,,
1.72874E+12,0,3.48,175.32697846950012,,,,,
,,,,,,,,
1.72874E+12,0,3.48,175.86800369910011,,,,,
,,,,,,,,
1.72874E+12,0,3.42,176.2843326453001,,,,,
,,,,,,,,
1.72874E+12,0,3.42,176.8009818195001,,,,,
,,,,,,,,
1.72874E+12,0,3.42,177.35274307350008,,,,,
,,,,,,,,
1.72874E+12,0,3.42,177.83929617930008,,,,,
,,,,,,,,
1.72874E+12,0,3.4,178.36788404730007,,,,,
,,,,,,,,
1.72874E+12,0,3.4,178.78676499930006,,,,,
,,,,,,,,
1.72874E+12,0,3.4,179.36521964730005,,,,,
,,,,,,,,
1.72874E+12,0,3.33,179.91222889050007,,,,,
,,,,,,,,
1.72874E+12,0,3.33,180.34202186730008,,,,,
,,,,,,,,
1.72874E+12,0,3.33,180.83530698840008,,,,,
,,,,,,,,
1.72874E+12,0,3.33,181.37743222050008,,,,,
,,,,,,,,
1.72874E+12,0,3.27,181.8186652233001,,,,,
,,,,,,,,
1.72874E+12,0,3.27,182.3366344005001,,,,,
,,,,,,,,
1.72874E+12,0,3.27,182.84021554500006,,,,,
,,,,,,,,
1.72874E+12,0,3.27,183.25746849330005,,,,,
,,,,,,,,
1.72874E+12,0,3.24,183.79444571370004,,,,,
,,,,,,,,
1.72874E+12,0,3.24,184.25539076130005,,,,,
,,,,,,,,
1.72874E+12,0,3.24,184.77811194930007,,,,,
,,,,,,,,
1.72874E+12,0,3.24,185.21529694290007,,,,,
,,,,,,,,
1.72874E+12,0,3.16,185.70193804890008,,,,,
,,,,,,,,
1.72874E+12,0,3.16,186.19321383210007,,,,,
,,,,,,,,
1.72874E+12,0,3.16,186.59179607130005,,,,,
,,,,,,,,
1.72874E+12,0,3.1,187.06465047930004,,,,,
,,,,,,,,
1.72874E+12,0,3.1,187.51477150230002,,,,,
,,,,,,,,
1.72874E+12,0,3.1,187.9694392,,,,,
,,,,,,,,
1.72874E+12,0,3.1,188.478667,,,,,
,,,,,,,,
1.72874E+12,0,3.07,188.8929133,,,,,
,,,,,,,,
1.72874E+12,0,3.07,189.3972131,,,,,
,,,,,,,,
1.72874E+12,0,3.07,189.77543797349998,,,,,
,,,,,,,,
1.72874E+12,0,3.07,190.29774849389997,,,,,
,,,,,,,,
1.72874E+12,0,2.99,190.66611733109997,,,,,
,,,,,,,,
1.72874E+12,0,2.99,191.11342234769995,,,,,
,,,,,,,,
1.72874E+12,0,2.99,191.60896614059996,,,,,
,,,,,,,,
1.72874E+12,0,2.99,192.05188581389996,,,,,
,,,,,,,,
1.72874E+12,0,2.94,192.55639096049995,,,,,
,,,,,,,,
1.72874E+12,0,2.94,192.97896792089995,,,,,
,,,,,,,,
1.72874E+12,0,2.94,193.41448091069995,,,,,
,,,,,,,,
1.72874E+12,0,2.94,193.83274586129994,,,,,
,,,,,,,,
1.72874E+12,0,2.9,194.20278670229993,,,,,
,,,,,,,,
1.72874E+12,0,2.9,194.68341446129992,,,,,
,,,,,,,,
1.72874E+12,0,2.9,195.05770864529993,,,,,
,,,,,,,,
1.72874E+12,0,2.9,195.52557637529992,,,,,
,,,,,,,,
1.72874E+12,0,2.9,195.96792404729993,,,,,
,,,,,,,,
1.72874E+12,0,2.82,196.36911695909993,,,,,
,,,,,,,,
