time (ms),voltage,speed (mph),distance_traveled,
1.73025E+12,0,0.07,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0.4,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0.4,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
,,,,
1.73025E+12,0,0,12.636638052899999,
